idx,Periódico,Categoría,Título,Contenido,Clasificación,Score BERT,Tipo
127,El Confidencial,Internacional,trump retirará 5.000 soldados estadounidenses de alemania tras su choque con merz,el presidente de estados unidos donald trump retirará 5.000 soldados estadounidenses de alemania. la decisión ha sido anunciada por medios locales tras las revelaciones de altos cargos del departamento de defensa.el secretario de guerra ha ordenado la retirada de aproximadamente 5.000 tropas de alem...,No Clickbait,0.432,Ambos: No Clickbait
128,El Confidencial,Internacional,lula se somete a una intervención médica para retirarle un carcinoma,el presidente de brasil luiz inácio lula da silva se ha sometido este viernes a una intervención médica para retirarle un carcinoma en la cabeza que transcurrió sin contratiempos así como para tratarse de una tendinitis.apenas ha estado unas pocas horas en el hospital sirio libanés de sao paulo ciud...,No Clickbait,0.283,Ambos: No Clickbait
129,El Confidencial,Internacional,países bajos detiene a un sospechoso de planear el asesinato de las princesas amalia y alexia,las autoridades de países bajos han confirmado la detención en febrero de un hombre sospechoso de planear el asesinato de las princesas catalina amalia heredera al trono y alexia un caso del que han trascendido pocos detalles y que tendrá su primera vista judicial este lunes 4 de mayo.la fiscalía ne...,No Clickbait,0.240,Ambos: No Clickbait
130,El Confidencial,Internacional,la nobel de la paz iraní narges mohammadi ingresada en un hospital por su catastrófico estado de salud,la premio nobel de la paz narges mohammadi ha sido ingresada este viernes en un hospital de la ciudad iraní de zanyán debido al catastrófico empeoramiento de su estado de salud tras 140 días de negligencia médica e iniciar una huelga de hambre en febrero de este año para protestar por las condicione...,No Clickbait,0.236,Ambos: No Clickbait
131,El Confidencial,Internacional,la diplomacia de la corona carlos iii viaja a washington para salvar la relación especial,keep calm and carry on. carlos iii tira de actitud británica y apenas horas después del último atentado contra donald trump aterriza en estados unidos acompañado de la reina camilla para un viaje de estado histórico pero lleno de polémica. el ataque contra el presidente estadounidense el pasado sába...,No Clickbait,0.366,Ambos: No Clickbait
132,El Confidencial,Internacional,israel detiene a 175 activistas tras abordar la flotilla a gaza en aguas internacionales,las autoridades de israel han anunciado este jueves la detención de alrededor de 175 activistas que iban a bordo de embarcaciones de la global sumud flotilla interceptadas de madrugada en aguas internacionales al sur de grecia a unos mil kilómetros de las costas de la franja de gaza e israel.según f...,No Clickbait,0.214,Ambos: No Clickbait
133,El Confidencial,Internacional,trump insiste en la retirada de tropas de españa e italia y eleva la tensión tras su pulso con el canciller alemán,el presidente de estados unidos donald trump afirmó este jueves que podría retirar las tropas estadounidenses desplegadas en españa e italia después de haber amenazado ya al canciller alemán friedrich merz por sus recientes críticas sobre la evolución del conflicto en oriente medio.¿está considerand...,No Clickbait,0.385,Ambos: No Clickbait
135,El Confidencial,Internacional,israel confirma la llegada a su territorio de los dos activistas de la flotilla detenidos,el ministerio de exteriores de israel comunicó este sábado que el activista con nacionalidad palestina y española saif abukeshek junto con el ciudadano brasileño thiago ávila han sido desembarcados en territorio israelí tras su detención el jueves luego de que el ejército interceptara en aguas inter...,No Clickbait,0.200,Ambos: No Clickbait
136,El Confidencial,Internacional,a elon musk se le está yendo la pinza y no deberíamos tener miedo a contarlo,en uno de los gestos políticos más polémicos de los últimos años el pasado 21 de enero en la toma de posesión de donald trump como presidente de eeuu elon musk hizo el saludo nazi mientras se dirigía al respetable. pero lo increíble no es esto. lo verdaderamente fascinante es que ese brazo en alto q...,Clickbait,0.680,Ambos: Clickbait
138,El Confidencial,Internacional,varias balas y más incógnitas eeuu defiende su protocolo de seguridad ante el nuevo intento de magnicidio,minutos antes de intentar entrar armado en el salón donde se celebraba la cena de corresponsales de la casa blanca cole thomas allen envió un manifiesto en el que se disculpaba con su entorno por intentar atacar al presidente donald trump y a otros miembros de su administración. explicaba sus razone...,No Clickbait,0.246,Ambos: No Clickbait
140,El Confidencial,Nacional,guardiola promete en su toma de posesión que los derechos no estarán sometidos a ningún vaivén político,la presidenta de la junta de extremadura maría guardiola ha comprometido en su toma de posesión en el cargo celebrada esta tarde en el anfiteatro romano de mérida que los derechos no van a estar sometidos a ningún vaivén político como algo que no es negociable ni matizable.nuestros derechos no van a...,No Clickbait,0.307,Ambos: No Clickbait
141,El Confidencial,Nacional,por qué ayuso es isabel... la católica,en tiempos de pasión madrileña se diría que la conversión pública de isabel díaz ayuso tránsito oportunista del agnosticismo militante a la genuflexión semanal no pertenece al misterio de la santísima trinidad sino corresponde más bien al ámbito del marketing identitario. es una epifanía de urna no ...,Clickbait,0.635,Ambos: Clickbait
142,El Confidencial,Nacional,lo más odiado | mercadona es la última trinchera de la democracia,alberto olmos y rubén arranz están de vuelta como casi todos los jueves en su estudio de el confidencial. hemos conseguido que se sienten uno enfrente del otro para grabar un nuevo episodio de lo más odiado el videopódcast que puedes ver en youtube y escuchar en ivoox spotify y apple podcast.¿de qué...,Clickbait,0.513,Ambos: Clickbait
143,El Confidencial,Nacional,últimos días para reservar viajes del imserso plazo hasta el 30 de abril con tarifas desde 50 euros,buenas noticias para los castellanomanchegos el imserso de castilla la mancha contará con más de 1.800 salidas en 2026 y además se podrá viajar en grupoya están aquí los viajes del imserso para mayores esta es la fecha en la que comenzarán a comercializarse​ el plazo para solicitar los viajes del im...,No Clickbait,0.286,Ambos: No Clickbait
144,El Confidencial,Nacional,historia de una reconstrucción sumando energías por valencia,un año y medio después de que la dana arrasara más de 80 municipios en las cuencas del barranco del poyo y el río magro la comunidad valenciana sigue inmersa en una reconstrucción que trasciende lo material. la prioridad ha evolucionado de la gestión de la emergencia inicial a una fase de reconstruc...,No Clickbait,0.381,Ambos: No Clickbait
145,El Confidencial,Nacional,un policía fuera de servicio reduce y detiene a un hombre que estaba agrediendo a su mujer en dénia,un agente de la policía nacional ha reducido y arrestado a un hombre de 73 años que estaba agrediendo a su esposa de 72 en una vivienda de dénia alicante.los hechos se produjeron el pasado 12 de abril según confirmaron a europa press fuentes de jefatura. el septuagenario presuntamente propinaba golp...,No Clickbait,0.319,Ambos: No Clickbait
146,El Confidencial,Nacional,no el guernica no puede ni debe salir de madrid,la peor contribución de isabel díaz ayuso al debate del guernica consiste en haberlo madrileñizado. lo convirtió en un rifirrafe castizo al calificar de ciegas absurdas y catetas las pretensiones de trasladar el cuadro al país vasco. y así degradó una discusión seria hasta la chulería autonómica com...,Clickbait,0.597,Ambos: Clickbait
147,El Confidencial,Nacional,¿por qué majadahonda está tan cerca y getafe tan lejos?,un ciudadano madrileño y foráneo puede tardar 20 minutos en llegar a majadahonda y 20 minutos en alcanzarse a getafe pero la imaginación colectiva suscribe que el primer trayecto conduce a la civilización y el segundo a una periferia remota. la distancia real importa poco prevalece la brújula social...,Clickbait,0.672,Ambos: Clickbait
148,El Confidencial,Nacional,ouigo defiende su personación como perjudicado en adamuz y denuncia pérdidas de 8m,la operadora ferroviaria ouigo ha presentado un recurso contra la decisión de la jueza que investiga el accidente de adamuz de no permitir su personación en el caso como acusación particular. la empresa sostiene que a raíz del accidente ha sufrido un perjuicio patrimonial de 85 millones de euros y q...,No Clickbait,0.260,Ambos: No Clickbait
150,El Confidencial,Nacional,registrado un ligero terremoto de magnitud 3.4 en varias localidades de valencia,un terremoto de magnitud 3.4 ha sido registrado cerca de gandia sobre las 082323 de este miércoles 29 de abril según los datos recogidos por el instituto geográfico nacional ign. el epicentro del temblor que ha afectado a la provincia de valencia se ha localizado a 5 kilómetros de bocairent y a kiló...,No Clickbait,0.209,Ambos: No Clickbait
151,El Confidencial,Nacional,víctor aldama obligado a demostrar ante el tribunal que merece una pena sin cárcel,ha llegado el día. víctor aldama el verdadero jefe como lo describió el teniente coronel balas tiene solo una oportunidad para mostrar a los siete magistrados del supremo que tendrán que decidir su condena hasta dónde llegan sus ganas de colaborar con la justicia. pasará este miércoles a la silla si...,No Clickbait,0.276,Ambos: No Clickbait
152,El Confidencial,Nacional,por qué el cine que parecía abocado al cierre está más de moda que nunca en valencia,cada ciudad tenía unos babel. último reducto de un cine con identidad vinculado a un barrio. un cine de aficionados al cine. sí el típico cine de tu ciudad que saca pecho de no permitir palomitas en la sala y hace del silencio una cuestión de estado.valencia también tenía los babel tomados desde los...,Clickbait,0.565,Ambos: Clickbait
154,El Confidencial,Nacional,un madrileño en madrid con disfraz de turista,hay una forma secreta de viajar que consiste en quedarse. en permanecer exactamente donde uno está y aun así desplazarse con la impostura de un turista en fibrilación. madrid admite ese experimento con una docilidad sorprendente. basta un gesto mínimo casi ridículo en apariencia. reservar una habita...,No Clickbait,0.266,Ambos: No Clickbait
156,El Confidencial,Nacional,muere un menor de edad apuñalado por un joven desde un patinete en madrid la policía baraja un ajuste entre bandas,la policía nacional investiga el homicidio de un chico de 17 años de edad que ha sido apuñalado por otro joven desde un patinete en puente de vallecas madrid según ha informado este viernes el cuerpo policial.los hechos han ocurrido alrededor de las 1500 horas en la calle vizconde de arlesson junto ...,No Clickbait,0.196,Ambos: No Clickbait
158,El Confidencial,Nacional,cis | tezanos sitúa al pp en el límite de la absoluta en andalucía el psoe busca salir de su suelo y vox se congela,habemus cis preelectoral andaluz de la mano de josé félix tezanos. a una semana exacta de que empiece la campaña electoral en andalucía el cis publica sus previsiones para el 17 m. tezanos apunta a que el pp estaría en torno a la mayoría absoluta. por su parte el psoe mejoraría ligeramente sus peore...,No Clickbait,0.442,Ambos: No Clickbait
162,El Confidencial,Cultura,muere el escritor fernando cabeza quiles tras sufrir un accidente de bicicleta en carballo a coruña,el escritor fernando cabeza quiles de 73 años de edad ha fallecido este viernes en carballo a coruña tras sufrir una caída de su bicicleta según ha informado el ciae 112 galicia en un accidente en el que no ha habido más vehículos implicados.según ha informado el 112 el primer aviso por este suceso ...,No Clickbait,0.256,Ambos: No Clickbait
163,El Confidencial,Cultura,amaia salamanca actriz de la ahorcada en el colegio siempre me decían que yo era como muy macarra,carlos cuevas 30 años actor me intereso por personas que no son parecidas a míuna de las mejores películas españolas del año el drama romántico con amaia salamanca que tienes que ver en netflixla actriz madrileña amaia salamanca cuenta con una sólida trayectoria en series como sin tetas no hay paraí...,Clickbait,0.576,Ambos: Clickbait
165,El Confidencial,Cultura,cochinas prefiero que los actores sean gente guapa la verdad,fueron a valladolid a hacer una serie y la llamaron cochinas. este vocabulario de beatas nos avisa del trastoque temporal no estamos en el siglo xxi sino algo más atrás en los años 90. en cada episodio de la serie se ofrece este aviso si la visión del cuerpo humano o de la intimidad le resulta pertu...,Clickbait,0.596,Ambos: Clickbait
166,El Confidencial,Cultura,bernat castany prado el filósofo de la risa el humor es el oxígeno de la democracia,esto son dos hombres que no logran ponerse de acuerdo y van a ver al rabino. después de escuchar al primero el rabino le dice que tiene razón. escucha la versión del segundo y concluye tú también tienes razón. entonces la hija del rabino que andaba por allí interviene y protesta porque no es posible...,No Clickbait,0.485,Ambos: No Clickbait
167,El Confidencial,Cultura,la izquierda mediática se ha vuelto ostentosa y pija,fue morir nuestro dictador y aplicarse en españa un pacto de no ostentación minucioso un trato no verbal ni escrito aunque casi masticable por su densidad donde se acordaba injustamente que la masa avasallada y saqueada por el régimen franquista no exigiría reparación económica si a cambio los gerif...,Clickbait,0.539,Ambos: Clickbait
171,El Confidencial,Cultura,cumbres borrascosas llega al streaming dónde y cuándo ver desde casa la última película de margot robbie y jacob elordi,cumbres borrascosas mucho ruido la promo más cansina y pocas nueces el sexo más sosopor qué nos sienta tan mal la nueva adaptación de cumbres borrascosasla película cumbres borrascosas protagonizada por margot robbie y jacob elordi y estrenada el pasado san valentín en cines ya tiene fecha de estren...,Clickbait,0.581,Ambos: Clickbait
174,El Confidencial,Cultura,muere el pintor y diseñador pepe cruz novillo a los 89 años,cruz novillo ha fallecido a los 89 años según ha informado la revista gráffica. nacido en cuenca el 21 de mayo de 1936 es el autor de las identidades visuales de entidades e instituciones como correos repsol el logotipo del puño y la rosa del psoe la policía nacional el mundo cope diario 16 el econo...,No Clickbait,0.257,Ambos: No Clickbait
176,El Confidencial,Cultura,muere en buenos aires el cineasta argentino adolfo aristarain a los 82 años,el director de cine argentino adolfo aristarain ha muerto este domingo en buenos aires a los 82 años tal y como comunicó la academia de las artes y las ciencias cinematográficas de españa.estrechamente vinculado a españa donde residió durante siete años y filmó parte de su obra aristarain fue distin...,No Clickbait,0.222,Ambos: No Clickbait
178,El Confidencial,Cultura,maialen beloki será la directora del festival de cine de san sebastián a partir de 2027,maialen beloki asumirá la dirección del festival de cine de san sebastián a partir de enero de 2027 tras ser elegida por el consejo de administración del certamen en el que están representados el ayuntamiento donostiarra la diputación de gipuzkoa el gobierno vasco y el ministerio de cultura.la desig...,No Clickbait,0.213,Ambos: No Clickbait
180,ElDiario,Internacional,starmer desafía la revuelta laborista y dice que no dimitirá,el primer ministro británico le pide a su gabinete que se concentre en gobernar después del hundimiento de su partido en las elecciones locales y mientras decenas de diputados reclaman que abandone el cargo starmer intenta sobrevivir agarrándose ahora al rechazo del brexit y promete poner al reino u...,No Clickbait,0.358,Ambos: No Clickbait
182,ElDiario,Internacional,trump viaja a china con la cara roja del bofetón iraní,el presidente se reúne esta semana con xi jinping y como él mismo diría no tiene las cartas para jugar como trump se diría a sí mismo y como le dijo al presidente ucraniano volodímir zelenski en su infame encuentro en la casa blanca no estás en una buena posición. no tienes las cartas. el líder esta...,Clickbait,0.618,Ambos: Clickbait
183,ElDiario,Internacional,el hombre acusado de atentar contra trump en la cena de corresponsales se declara no culpable,además del cargo de intento de asesinato allen también está acusado de agredir a un agente federal con un arma mortal y de otros dos cargos relacionados con armas de fuego. está previsto que vuelva a comparecer ante el tribunal el 29 de junio teherán envía su respuesta a la propuesta de paz de eeuu ...,No Clickbait,0.224,Ambos: No Clickbait
185,ElDiario,Internacional,el activista español de la flotilla viaja hacia españa tras ser liberado y deportado junto a su compañero brasileño,tanto la flotilla global sumud como el centro legal adalah que representa a abukeshek y a ávila han confirmado la liberación pero los abogados reclaman que el ministerio de exteriores israelí no ha entregado información sobre el proceso de retorno de los activistas. albares anuncia que israel libera...,No Clickbait,0.231,Ambos: No Clickbait
186,ElDiario,Internacional,albares exige que los países de la ue voten de una vez la aplicación de sanciones a israel,tras la salida de viktor orbán del gobierno de hungría hay más posibilidades de que la unión europea acuerde sanciones contra el comercio de productos de los asentamientos ilegales israelíes en territorio palestino que llevan meses en un cajón la comisión europea ignora la petición de españa para bl...,No Clickbait,0.255,Ambos: No Clickbait
187,ElDiario,Internacional,barnsoldater los niños soldado de suecia cómo el país del bienestar se convirtió en una fábrica de sicarios adolescentes,suecia tiene una fuerte capacidad estatal bajos niveles de corrupción y sistemas de bienestar ampliamente consolidados rasgos que suelen asociarse a baja criminalidad estructural pero la expansión de mercados ilícitos de alto valor como el de la cocaína introduce lógicas que no se dejan absorber por...,No Clickbait,0.434,Ambos: No Clickbait
188,ElDiario,Internacional,viena tiene uno de los mejores transportes públicos del mundo pero no consigue librarse de los coches,la capital austríaca sopesa ampliar la red de tranvías y los aparcamientos para disuadir el uso del transporte privado cómo viena ha quitado espacio a los coches para dárselo a las personas cuando leonore gewessler se sube al metro y a los tranvías que recorren viena con puntualidad valora la comodi...,No Clickbait,0.404,Ambos: No Clickbait
189,ElDiario,Internacional,europa punto de partida,las negociaciones de adhesión fueron más largas de lo previsto. empezaron en febrero del 1979 y españa no logró entrar en el club comunitario hasta enero de 1986. francia recelaba de la competencia de agricultores y pescadores y también temía una avalancha de trabajadores españoles españa y la unión...,No Clickbait,0.393,Ambos: No Clickbait
190,ElDiario,Internacional,ser judío y crítico con israel en alemania tengo miedo a expresar mi opinión,el argentino martín gak y la israelí iris hefets son dos de las voces públicas de la comunidad judía en alemania que denuncian el genocidio en gaza y han hecho frente a la represión sistemática contra el movimiento de solidaridad con palestina alemania ordena la expulsión de cuatro activistas propal...,No Clickbait,0.414,Ambos: No Clickbait
191,ElDiario,Internacional,la ue admite con frustración que la industria europea de defensa no produce ni rápido ni lo que se necesita,la experiencia de ucrania muestra lo rápido que evoluciona la guerra moderna y que las lecciones aprendidas deben dar forma a nuestras decisiones políticas. la innovación en defensa tiene que convertirse en una prioridad política ha explicado la jefa de la diplomacia europea rusia celebra el desfile...,No Clickbait,0.391,Ambos: No Clickbait
192,ElDiario,Internacional,dentro de la facultad secreta de formación de espías rusos en una universidad de élite de moscú,documentos obtenidos en exclusiva por un consorcio de periodistas de investigación muestran el papel de la universidad de moscú en la formación de agentes para la inteligencia militar de rusia una guerra anunciada cómo la cia supo que putin iba a invadir ucrania y por qué nadie les creyó el pasado m...,No Clickbait,0.356,Ambos: No Clickbait
193,ElDiario,Internacional,irán amenaza a francia y reino unido por el envío de buques militares en ormuz y apunta a los países que apliquen sanciones en su contra,eeuu e irán ¿cerca de un acuerdo? qué se sabe sobre las negociaciones entre bastidores para el fin de la guerra teherán que han enviado su respuesta a la última propuesta de paz de eeuu ha alertado de que únicamente la república islámica puede garantizar la seguridad en este estrecho y no permitirá ...,No Clickbait,0.275,Ambos: No Clickbait
194,ElDiario,Internacional,el negocio de las apuestas bélicas israel acusa a un comandante y su socio que ganaron miles de euros con el ataque a irán,las autoridades israelíes acusan a un trabajador del sector de las apuestas y a un comandante del ejército del aire de usar información privilegiada para apostar en la platadorma polymarket sobre en qué momento se produciría el ataque contra irán un soldado de eeuu que participó en el secuestro de m...,No Clickbait,0.265,Ambos: No Clickbait
195,ElDiario,Internacional,starmer intenta sobrevivir agarrándose ahora al rechazo del brexit y promete poner al reino unido en el corazón de europa,el primer ministro británico defiende su puesto después de que más de 60 diputados laboristas pidan su dimisión tras el derrumbe del partido en las elecciones locales y mientras sus rivales se organizan para un posible desafío formal starmer se estrella en las elecciones locales con la extrema derec...,No Clickbait,0.370,Ambos: No Clickbait
196,ElDiario,Internacional,exatleta olímpica alcaldesa y anti meloni la nueva estrella progresista de italia se llama silvia salis,tras asumir la alcaldía de génova hace apenas un año muchos la consideran un perfil idóneo para liderar el centroizquierda en un momento en el que los partidos contrarios a meloni negocian formar una coalición. cultiva una imagen moderna como ilustra un evento de tecno que organizó en abril en la ci...,No Clickbait,0.349,Ambos: No Clickbait
197,ElDiario,Internacional,la ue acuerda sancionar a colonos israelíes por sus ataques contra palestinos,ya era hora de pasar del bloqueo a la acción. los extremismos y la violencia tienen consecuencias ha declarado la jefa de la diplomacia europea. en un acto de supuesta parcialidad también se han aprobado sanciones contra dirigentes destacados de la organización palestina hamas albares exige que los ...,No Clickbait,0.235,Ambos: No Clickbait
198,ElDiario,Internacional,la ue rechaza la propuesta de putin de que schröder sea mediador para ucrania por lobista de empresas estatales rusas,kallas recuerda que el ex canciller alemán ha sido un lobista de alto nivel para empresas estatales rusas. está claro que putin quiere que sea esa persona así en la práctica estaría sentado en ambos lados de la mesa resalta al jefa de la diplomacia europea trump anuncia una tregua de tres días entre...,No Clickbait,0.257,Ambos: No Clickbait
200,ElDiario,Nacional,la abogacía del estado se opone a que el supremo pueda suspender cautelarmente la regularización de migrantes,responde a la petición de la asociación ultracatólica de hazte oír que buscaba la paralización cautelar del real decreto y subraya que no están legitimados para ir contra esa norma proceso extraordinario de regularización el problema no es la migración es la desigualdad la abogacía del estado en rep...,No Clickbait,0.276,Ambos: No Clickbait
202,ElDiario,Nacional,el juicio de kitchen constata que la mitad del archivo secreto de villarejo ha quedado sin desencriptar,los técnicos del cni abandonaron los trabajos de desencriptación en febrero de 2020 después de un año sin obtener un solo resultado y tras haber accedido a 44 de los 92 archivos protegidos hemeroteca sin noticias de la mitad oculta del archivo villarejo los técnicos del centro criptológico nacional ...,No Clickbait,0.264,Ambos: No Clickbait
203,ElDiario,Nacional,koldo garcía pide el archivo del caso mascarillas en la audiencia nacional porque no puede ser juzgado dos veces por los mismos hechos,solicita al instructor dejar sin efecto su citación en calidad de investigado programada para este jueves y advierte que se trata de una doble persecución simultánea prohibida por el convenio europeo de derechos humanos la audiencia nacional incorpora la confesión de aldama y koldo garcía en el supr...,No Clickbait,0.272,Ambos: No Clickbait
204,ElDiario,Nacional,la verdad de las mentiras aldama suelta otro bulo y el pp va detrás,el portavoz del empresario corrupto denuncia 15 supuestas llamadas de moncloa entre junio y agosto de 2024 meses antes del supuesto intento de soborno que bolaños desmiente ábalos visto para sentencia dudas y certezas del juicio contra una figura clave del primer gobierno de sánchez víctor aldama el...,Clickbait,0.637,Ambos: Clickbait
205,ElDiario,Nacional,feijóo y moreno utilizan las muertes de dos guardias civiles en el estrecho para cargar contra sánchez y grande marlaska,el líder de la oposición ha asegurado durante un mitin en la ciudad de málaga que el ministro de interior no se siente interpelado por nada de lo que digamos. ni él ni sánchez han tenido la decencia de venir en referencia al funeral de los dos agentes de la guardia civil fallecidos durante una perse...,No Clickbait,0.339,Ambos: No Clickbait
206,ElDiario,Nacional,última hora sobre el brote de hantavirus y la actualidad política en directo,este lunes se cerró una etapa en la crisis del hantavirus. el mv hondius zarpó anoche de tenerife hacia países bajos que se encargará de la desinfección del crucero y de la treintena de trabajadores que siguen a bordo junto con médicos especialistas. el operativo fue calificado de éxito rotundo por ...,No Clickbait,0.309,Ambos: No Clickbait
207,ElDiario,Nacional,la derecha del poder judicial bloquea la renovación de un puesto en la sala del supremo que juzga a los aforados,acaba sin acuerdo la primera reunión entre conservadores y progresistas para abordar la elección de la vacante pendiente en la instancia más sensible del alto tribunal la presidenta del poder judicial carga contra las presiones a los jueces tras las críticas del gobierno al juez peinado la derecha d...,No Clickbait,0.248,Ambos: No Clickbait
208,ElDiario,Nacional,la justicia ratifica la imposición de una cuarentena a los pasajeros del mv hondius,considera que la medida resulta adecuada necesaria e idónea así como proporcionada al riesgo grave inminente y extraordinario que supondría la propagación por contagio odisea atlántica el crucero de lujo que terminó en una crisis sanitaria internacional la justicia ha ratificado la imposición de una...,No Clickbait,0.238,Ambos: No Clickbait
209,ElDiario,Nacional,qué le pasa a un político cuando apuesta su credibilidad a la teoría de las ratas nadadoras,el presidente canario sigue insistiendo en que existía el peligro de que unas ratas contagiadas por el hantavirus pudieran llegar nadando a canarias a pesar de que los roedores sospechosos de contagiar la enfermedad estaban en argentina y no se dedican a actividades acuáticas sanidad encara el final...,Clickbait,0.500,Ambos: Clickbait
210,ElDiario,Nacional,el congreso prevé retirar este miércoles la acreditación de prensa por hasta tres meses a vito quiles y bertrand ndongo,fuentes parlamentarias dan por hecho que la mesa ejecutará la sanción apoyándose en el informe jurídico de la instrucción del caso que se ha demorado varios meses para no dejar resquicios que pudieran suponer la anulación del castigo el psoe denuncia en el congreso que vito quiles usó un despacho de...,No Clickbait,0.310,Ambos: No Clickbait
212,ElDiario,Nacional,un largo y accidentado camino,en medio siglo siete presidentes del gobierno han pasado por la moncloa. desde adolfo suárez hasta llegar a pedro sánchez un largo y convulso trayecto marcado por la reconversión industrial la entrada en la otan el cambio de moneda las huelgas generales el crecimiento económico la llegada de los nue...,No Clickbait,0.466,Ambos: No Clickbait
213,ElDiario,Nacional,virginia barcones directora de protección civil con las medidas adoptadas no hay posibilidad de contagio alguno,la secretaria general de protección civil y emergencias del ministerio del interior viaja a canarias para la coordinación in situ del imponente despliegue operativo que recibirá al barco afectado por un brote de hantavirus gráfico el operativo del hantavirus paso a paso zodiacs y autobuses para evac...,No Clickbait,0.270,Ambos: No Clickbait
214,ElDiario,Nacional,la justicia condena al colegio de la abogacía de madrid a pagar 96.000 euros al consejo general de la abogacía por un impago de cuotas,da la razón al consejo porque el colegio madrileño no impugnó los presupuestos que recogían que debía abonar la cantidad reclamada juristas progresistas presentan una queja ante el colegio de abogados de madrid por su sumisión a ayuso el ilustre colegio de la abogacía de madrid icam deberá abonar 96...,No Clickbait,0.229,Ambos: No Clickbait
215,ElDiario,Nacional,la audiencia nacional da un revés al juez y anula el procesamiento del policía de los millones emparedados,afea a de jorge que diera ese paso sin terminar la investigación que ahora deberá continuar asuntos internos investiga al jefe de la policía que escondía 20 millones como el cerebro que blanqueaba para los narcos el pasado 13 de febrero el juez de la audiencia nacional francisco de jorge dictó un au...,No Clickbait,0.202,Ambos: No Clickbait
216,ElDiario,Nacional,sánchez afronta su enésima crisis con el hantavirus y una oposición dispuesta a hacer de un problema sanitario un escándalo político,el presidente echa mano del manual anticrisis y trata de contener la nueva ofensiva del pp al tiempo que el psoe se debate entre el alivio por las declaraciones de ábalos y koldo y la indignación por las acusaciones sin pruebas del empresario corrupto aldama odisea atlántica el crucero de lujo que t...,No Clickbait,0.195,Ambos: No Clickbait
217,ElDiario,Nacional,vox fuerza nuevos debates sobre la prioridad nacional que moreno rechaza en andalucía,el partido de abascal registra en plena campaña electoral iniciativas parlamentarias que inciden en la idea de españoles primero y que recuperan un concepto de las leyes fundamentales del franquismo la comunidad nacional crónica cuando borja sémper volvió por segunda vez vox seguía ahí pp y vox mant...,No Clickbait,0.228,Ambos: No Clickbait
219,ElDiario,Nacional,la sentencia del caso dina certifica por primera vez una operación policial para el desprestigio de podemos,el fallo de la audiencia nacional alude a la pata mediática de la guerra sucia del pp contra podemos dos digitales publicaron once informaciones perjudiciales para el partido a partir de una copia que les había entregado villarejo del teléfono robado a una colaboradora de iglesias la audiencia nacio...,No Clickbait,0.237,Ambos: No Clickbait
220,ElDiario,Cultura,josé sacristán los jóvenes que dicen que con franco se vivía mejor no tienen ni puta idea de lo que es vivir una dictadura,el actor dirige e interpreta el hijo de la cómica la adaptación que ha hecho de el tiempo amarillo las memorias de su amigo fernando fernán gómez el discurso ultra cala en los jóvenes son más tradicionales religiosos y reacios a la igualdad publicó en 1990 sus memorias. se llamaban el tiempo amarill...,Clickbait,0.588,Ambos: Clickbait
221,ElDiario,Cultura,las mejores películas del siglo xxi elegidas por 56 directores del cine español,pedro almodóvar alejandro amenábar oliver laxe carla simón alauda ruiz de azúa javier calvo javier ambrossi isabel coixet... todos ellos eligen para lo mejor de los últimos 25 años lo mejor del siglo los mejores libros del siglo xxi elegidos por 21 librerías españolas consulta las listas de las mejo...,No Clickbait,0.216,Ambos: No Clickbait
222,ElDiario,Cultura,tinieblas una sala de montaje donde la niebla permite el descubrimiento,la artista edurne rubio estrena en el centro dramático nacional una obra híbrida entre la performance el cine y el teatro una mujer que se interna en el bosque elige la libertad de perderse frente al deseo de certidumbre juan diego botto vuelve a convulsionar el teatro español con una noche sin luna...,No Clickbait,0.332,Ambos: No Clickbait
223,ElDiario,Cultura,ahora vas y lo tuiteas clarice lispector una maestra de la frase breve que conecta con las nuevas generaciones,siruela publica las palabras y el tiempo un libro biblia de la escritora brasileña que reúne más de 4.500 citas de su obra entrevista santiago alba rico cuando tu propósito en la literatura es transformar el mundo no lo transformas es fácil adivinar cómo se habrían relacionado los escritores de anta...,Clickbait,0.590,Ambos: Clickbait
224,ElDiario,Cultura,antonio luque de sr. chinarro los grupos españoles actuales me interesan cero,el músico sevillano recupera algunas de las canciones que grabó a finales del siglo pasado y las publica renovadas en el álbum el año de la pera esa canción que no te quitas de la cabeza podría ser ia cómo saber si está hecha por un humano si quieres úsalo como titular pero a mí los actuales me inte...,No Clickbait,0.454,Ambos: No Clickbait
225,ElDiario,Cultura,la presencia de rusia e israel en la bienal de venecia azota con protestas el festival de arte,la participación en la feria de ambos países ha provocado una contundente acción de pussy rioy y femen huelga de empleados y la advertencia de la unión europea de retirar subvenciones por una posible vulneración de las sanciones a rusia por la invasión de ucrania dimite el jurado de la bienal de ven...,No Clickbait,0.205,Ambos: No Clickbait
226,ElDiario,Cultura,podrás pagar el pan con mortadelo filemón y la ofelia pero es mejor coleccionar las monedas,aunque los comercios no están obligados a aceptarlas como medio de pago esta colección busca rendir tributo al dibujante francisco ibáñez y permite apreciar las ilustraciones de sus personajes más famosos ahora vas y lo tuiteas clarice lispector una maestra de la frase breve que conecta con las nuev...,Clickbait,0.574,Ambos: Clickbait
