idx,Periódico,Categoría,Título,Contenido,TANIWA,BERT,Score BERT,Tipo
409,okdiario,Cultura,tres libros imprescindibles que me han hecho llorar de la risa,esta semana en recomendaciones literarias de okdiario proponemos tres libros de comedia absolutamente icónicos. se trata de tres clásicos de la literatura que te harán reír hasta las lágrimas. nunca he sido un gran lector de este género pero estas obras me provocan carcajadas cada vez que vuelvo a e...,Clickbait,No Clickbait,0.468,Solo TANIWA: CB
410,okdiario,Cultura,la historia de aurèlia muñoz una artista textil en el franquismo sabía que en esta españa tradicional no tenía opciones y se lanzó al extranjero,se cumplen 100 años del nacimiento de aurèlia muñoz barcelona 1926 2011 una artista textil desconocida en españa pero pionera en la conquista del espacio a través de la tridimensionalidad de sus esculturas hechas con fibras y textiles. este 2026 y con motivo de su centenario el museo reina sofía aco...,Clickbait,No Clickbait,0.419,Solo TANIWA: CB
413,okdiario,Cultura,tres libros emocionantes para superar una ruptura amorosa,esta semana en recomendaciones literarias de okdiario proponemos tres libros que pueden ayudarte a superar una ruptura amorosa. tres novelas ágiles que pueden crear en el lector una gran sensación de identificación. son obras de ficción con personajes más que reconocibles. decía rosa montero que suf...,Clickbait,No Clickbait,0.357,Solo TANIWA: CB
414,okdiario,Cultura,miguel adrover el creador que subió a los cielos de la moda se retiró radicalmente y no negoció su talento,tras su presentación en la pasada edición del atlàntida mallorca film fest donde ganó el premio del público y clausurar la sección made in spain del festival de san sebastián el documental the designer is dead basado en la trayectoria del visionario e innovador diseñador mallorquín miguel adrover te...,Clickbait,No Clickbait,0.458,Solo TANIWA: CB
417,okdiario,Cultura,león bajo la luz de la noche un fotógrafo gallego rescata el alma del reino olvidado,la casa de león en madrid acogerá este viernes 27 de marzo de 2026 a las 1900 horas en su sede de la calle del pez 6 1º la presentación del libro león el embrujo de un reino olvidado del fotógrafo escritor y editor josé luis pardo caeiro. en el acto intervendrá el escritor periodista y vicesecretari...,No Clickbait,Clickbait,0.507,Solo BERT: CB
423,RTVE,Internacional,trump afirma que no tiene prisa por alcanzar un acuerdo con irán ya que el tiempo juega a favor de estados unidos,el presidente de estados unidos donald trump ha asegurado este domingo que no tiene prisa por alcanzar un nuevo acuerdo con irán subrayando que la estrategia de presión máxima de su administración está asfixiando la economía de teherán y ha diezmado su capacidad operativa. el mandatario estadouniden...,No Clickbait,Clickbait,0.501,Solo BERT: CB
436,RTVE,Internacional,el rey carlos iii y la reina camila viajan a estados unidos tras el intento de atentado contra donald trump,el rey carlos iii de inglaterra y la reina camila a estados unidos viajarán este lunes a estados unidos horas después del atentado fallido contra el presidente donald trump que tuvo lugar el domingo. según fuentes del palacio de buckingham la visita se mantiene tal y como estaba planeado y de acuerd...,Clickbait,No Clickbait,0.329,Solo TANIWA: CB
439,RTVE,Internacional,el atacante de trump le califica de pedófilo violador y traidor en un manifiesto previo al atentado,ya no estoy dispuesto a permitir que un pedófilo violador y traidor manche mis manos con sus crímenes. estas palabras las escribió colle allen en un manifiesto dirigido a su familia minutos antes de perpetrar un intento de atentado este sábado por la noche contra donald trump en la cena de correspon...,Clickbait,No Clickbait,0.278,Solo TANIWA: CB
441,RTVE,Nacional,operación ?salvar al pino bicentenario de calamocarro? el símbolo natural de ceuta que se resiste a morir,en cada ciudad hay espacios imágenes elementos que forman parte de la memoria colectiva. en ceuta uno de ellos es la silueta del pino bicentenario del arroyo de calamocarro. un símbolo natural cuya vida corre peligro desde hace meses. testigo silencioso del paso de los años el pino bicentenario ha b...,No Clickbait,Clickbait,0.521,Solo BERT: CB
456,RTVE,Nacional,sánchez afirma que la prioridad nacional de pp y vox viola la constitución crea ciudadanos de primera y de segunda,el presidente del gobierno pedro sánchez ha advertido este viernes de que la prioridad nacional pactada por pp y vox en sus acuerdos para las investiduras de maría guardiola en extremadura y jorge azcón en aragón viola la constitución porque creará ciudadanos de primera y de segunda clase rompiendo ...,Clickbait,No Clickbait,0.220,Solo TANIWA: CB
460,RTVE,Cultura,día del libro 2026 diez recomendaciones literarias que no te puedes perder,tres pesos pesados de la literatura española llegan con sus novedades al día del libro. eduardo mendoza ofrece una nueva humorada de su detective sin nombre fernando aramburu recrea los días del secuestro más mediático de eta y luis landero encierra a sus personajes en pleno temporal filomena. poesí...,Clickbait,No Clickbait,0.301,Solo TANIWA: CB
462,RTVE,Cultura,libros que curan cuando leer es la mejor receta es un refugio y medicina para el alma,recetar a gabriel garcía márquez rosa montero albert camus o virginia woolf. leer por prescripción médica . pasar páginas como forma de curación. transformar la literatura en una experiencia sanadora y transformadora . novela poesía teatro y ensayo incluidos en una especie de vademécum y recetario l...,Clickbait,No Clickbait,0.494,Solo TANIWA: CB
463,RTVE,Cultura,julia se lava la cara la escultura de jaume plensa se someterá a una limpieza a fondo,una cabeza femenina de 12 metros de altura se ha convertido en parte del paisaje urbano de la madrileña plaza de colón. su nombre es julia una obra del escultor barcelonés jaume plensa al que un taxista dijo que era como hacer photoshop en la realidad . julia fue instalada en 2018 sobre la lámina de...,No Clickbait,Clickbait,0.567,Solo BERT: CB
464,RTVE,Cultura,la tira de gallego & rey 24/04/26,decimoséptima entrega del año 2026 para el programa directo al grano...,Clickbait,No Clickbait,0.295,Solo TANIWA: CB
467,RTVE,Cultura,la ahorcada un thriller español de terror sobre amor culpa y fantasmas del pasado,la ahorcada es el nuevo largometraje de terror sobrenatural dirigido por miguel ángel lamata un thriller psicológico que explora los límites difusos entre el amor la obsesión la venganza y la culpa. protagonizada por amaia salamanca y eduardo noriega la película cuenta la historia de una cantautora ...,Clickbait,No Clickbait,0.304,Solo TANIWA: CB
468,RTVE,Cultura,mami de mario banushi explora sin palabras la relación entre madres e hijos,para todas las mujeres que nos criaron . el niño prodigio del teatro griego mario banushi bebe de la fuente de la vida en mami su nueva propuesta escénica sin palabras cuyo estreno en la comunidad de madrid acogen los teatros del canal....,Clickbait,No Clickbait,0.495,Solo TANIWA: CB
469,RTVE,Cultura,día del libro quince grandes cómics para toda la familia,los cómics pueden ser un fabuloso regalo para este día del libro ya sea para vosotros mismos o para las personas a las que améis. por eso queremos recomendaros una selección de quince grandes títulos para distintos rasgos de edad y preferencias para que nadie se quede sin su cómic. y recordad cualqu...,Clickbait,No Clickbait,0.290,Solo TANIWA: CB
473,RTVE,Cultura,michael glorificación blindada del talento y alma de michael jackson,michael jackson bautizó neverland a su rancho debido a su obsesión absoluta con peter pan. en un escena de michael el nuevo biopic sobre el rey del pop jackson se identifica con el personaje volador porque comparte con él no solo el deseo de congelar la infancia sino un talento natural increíble llá...,Clickbait,No Clickbait,0.445,Solo TANIWA: CB
474,RTVE,Cultura,edward ross nos enseña a dibujar nuestro propio tebeo los cómics son emocionantes y nos permiten experimentar,tras contagiarnos su pasión por el cine y los videojuegos en los imprescindibles filmish y gamish reservoir books el escocés edward ross nos enseña ahora a crear nuestros propios cómics en cómo construir una novela gráfica reservoir books . un apasionante manual de instrucciones con el que de forma ...,Clickbait,No Clickbait,0.385,Solo TANIWA: CB
476,RTVE,Cultura,un lugar en el mundo roma o martín hache el cine inolvidable de adolfo aristarain,la muerte del director adolfo aristarain ha sacudido al cine argentino que vive un auténtica era de luto tras lamentar el fallecimiento de héctor alterio el pasado diciembre y los de luis brandoni y luis puenzo la semana pasada. los cuatro fueron claves en el movimiento del cine de los años 70 y ari...,Clickbait,No Clickbait,0.491,Solo TANIWA: CB
487,Mediterráneo Digital,Internacional,trump difunde un video que caricaturiza a los obama como monos,una nueva polémica sacude la campaña política en estados unidos tras la difusión por parte de donald trump de un vídeo generado con inteligencia artificial en el que barack y michelle obama aparecen representados como monos. el contenido que comenzó a circular en redes sociales en cuestión de minuto...,Clickbait,No Clickbait,0.282,Solo TANIWA: CB
489,Mediterráneo Digital,Internacional,jeffrey epstein financió experimentos hormonales para crear hombres femeninos y mujeres masculinas,nuevos documentos y testimonios vinculados al entorno del financiero jeffrey epstein apuntan a que el magnate destinó parte de su fortuna a financiar investigaciones científicas altamente controvertidas entre ellas experimentos hormonales destinados a alterar características sexuales y de género en ...,Clickbait,No Clickbait,0.265,Solo TANIWA: CB
490,Mediterráneo Digital,Internacional,trump españa es un país perdedor,el presidente de estados unidos donald trump ha retomado sus críticas contra españa en plena escalada diplomática entre ambos países. en una entrevista concedida al diario the new york post el mandatario estadounidense ha calificado a españa como un país perdedor y ha acusado al gobierno español de ...,No Clickbait,Clickbait,0.617,Solo BERT: CB
521,Mediterráneo Digital,Nacional,detenidos una madre y un hijo de una etnia que no podemos decir por morder y arrancar una oreja a un profesor,una madre y uno de sus hijos de 17 años han sido detenidos este viernes en la localidad alicantina de alcoy acusados de haber agredido y arrancado un trozo de oreja de un mordisco a un profesor en el centro educativo ies cotes baixes durante una discusión antes de ser separados por la policía.según ...,Clickbait,No Clickbait,0.346,Solo TANIWA: CB
530,Mediterráneo Digital,Nacional,pedro sánchez acojonado pasa 3 horas escondido por miedo a salir a la calle en málaga,la protesta contra la amnistía en málaga ha obligado a pedro sánchez a encerrarse junto al canciller alemán olaf scholz cerca de tres horas en la subdelegación del gobierno de la ciudad andaluza. ambos han accedido entre abucheos alrededor de las seis de la tarde media hora antes de lo previsto para...,No Clickbait,Clickbait,0.583,Solo BERT: CB
